size	max_diss	av_diss	diameter	separation	medoid	medoid_i
3	2.0150208215480787	1.2197645536888084	2.4138374805863685	3.2303474402569368	hitzig.nobound10-10all.PPMIno.LENGTH5000.SOCPOSlex	1
9	3.4563524016923393	2.588074352037547	4.095421269137655	2.5451379981274007	hitzig.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSlex	2
10	3.0901403712604507	2.084500224434128	3.495305847232435	1.7580422767963308	hitzig.nobound5-5all.PPMIweight.LENGTH5000.SOCPOSlex	3
7	2.843821047947475	1.8851558913108268	3.4159476976040075	1.7580422767963308	hitzig.nobound10-10lex.PPMIweight.LENGTHFOC.SOCPOSlex	4
3	2.0951129674470588	1.260858195296329	2.476833685879875	2.983315221938296	hitzig.nobound10-10lex.PPMIno.LENGTH5000.SOCPOSlex	5
8	2.9412552784243595	2.126540612782605	3.551231736814807	2.199970505287144	hitzig.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSlex	6
6	2.9922822581721835	2.0355722262013614	3.4344923044620166	2.5451379981274007	hitzig.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSlex	7
8	2.638555795336682	1.8148103636438053	3.019289276836572	1.9751360890482133	hitzig.nobound3-3lex.PPMIselection.LENGTH5000.SOCPOSlex	8
