_model	model.x	model.y	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
hitzig.nobound3-3all.PPMIselection.LENGTH1000.SOCPOSlex	-0.12750386466692545	1.6320575323256228	FALSE	BOW	739	selection	all	3-3	1000	lex	494	7	hitzig.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSlex
hitzig.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSlex	-0.06125889418851264	1.595120360784554	FALSE	BOW	739	selection	all	3-3	5000	lex	494	7	hitzig.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSlex
hitzig.nobound3-3all.PPMIselection.LENGTHFOC.SOCPOSlex	0.4727490800247669	1.0887823988754797	FALSE	BOW	739	selection	all	3-3	FOC	lex	494	7	hitzig.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSlex
hitzig.nobound3-3all.PPMIweight.LENGTH1000.SOCPOSlex	1.2670579418753158	0.5478849321788636	FALSE	BOW	739	weight	all	3-3	1000	lex	494	3	hitzig.nobound5-5all.PPMIweight.LENGTH5000.SOCPOSlex
hitzig.nobound3-3all.PPMIweight.LENGTH5000.SOCPOSlex	1.2688867655790872	0.5280752230208433	FALSE	BOW	739	weight	all	3-3	5000	lex	494	3	hitzig.nobound5-5all.PPMIweight.LENGTH5000.SOCPOSlex
hitzig.nobound3-3all.PPMIweight.LENGTHFOC.SOCPOSlex	1.4952963055263155	0.46573919853061857	FALSE	BOW	739	weight	all	3-3	FOC	lex	494	3	hitzig.nobound5-5all.PPMIweight.LENGTH5000.SOCPOSlex
hitzig.nobound3-3lex.PPMIno.LENGTH1000.SOCPOSlex	0.6850620575572334	0.5942968292941584	FALSE	BOW	660	no	lex	3-3	1000	lex	488	8	hitzig.nobound3-3lex.PPMIselection.LENGTH5000.SOCPOSlex
hitzig.nobound3-3lex.PPMIno.LENGTH5000.SOCPOSlex	0.7635239194224437	0.511998157918165	FALSE	BOW	660	no	lex	3-3	5000	lex	488	8	hitzig.nobound3-3lex.PPMIselection.LENGTH5000.SOCPOSlex
hitzig.nobound3-3lex.PPMIno.LENGTHFOC.SOCPOSlex	1.0083769224791372	0.4415393891423492	FALSE	BOW	660	no	lex	3-3	FOC	lex	488	8	hitzig.nobound3-3lex.PPMIselection.LENGTH5000.SOCPOSlex
hitzig.nobound3-3lex.PPMIselection.LENGTH1000.SOCPOSlex	0.7045757091645302	0.3800147245053142	FALSE	BOW	560	selection	lex	3-3	1000	lex	480	8	hitzig.nobound3-3lex.PPMIselection.LENGTH5000.SOCPOSlex
hitzig.nobound3-3lex.PPMIselection.LENGTH5000.SOCPOSlex	0.7826957194222581	0.3537633626271298	FALSE	BOW	560	selection	lex	3-3	5000	lex	480	8	hitzig.nobound3-3lex.PPMIselection.LENGTH5000.SOCPOSlex
