cw	pmi_4	raw_4	freq
Befürworter/NN	4.2485657	6	5893
Begegnung/NN	2.164506	4	30836
Begeisterung/NN	2.7389889	3	13218
Beginn/NN	0.913028	4	110803
Begriffsdefinition/NN	4.7103105	1	673
Behauptung/NN	1.0326906	1	24170
Beinahe-Funk/NN	11.706992	1	1
Beitrag/NN	-1.2349764	1	287857
Bekanntschaft/NN	2.7138133	1	4388
Belagerung/NN	3.197428	1	2699
Bemerkung/NN	1.3545092	1	20128
Benes?-Dekrete/NN	9.050235	1	8
Benezets/NN	10.202915	1	3
Beobachtung/NN	0.88505125	1	28103
Beraterin/NN	3.406091	1	2231
Beratung/NN	0.10497125	1	60633
Berlin/NE	-0.15647396	4	335786
Berliner/ADJ	-0.35273737	1	95017
Berufung/NN	0.8114202	1	30142
Beruhigung/NN	3.5736983	1	1960
Beschuldigung/NN	3.6414912	1	1739
Besondere/NN	2.146902	2	17063
Besprechung/NN	2.694996	2	9161
Besucherzahl/NN	3.463118	1	2167
Beteiligung/NN	0.26555467	1	49893
Betrag/NN	0.44834948	1	41630
Betrieb/NN	-0.59855694	1	119873
Betriebsversammlung/NN	4.68457	2	1226
Betze-Atmosphäre/NN	10.320698	1	2
Bevölkerung/NN	-0.45320013	1	103771
Bewunderung/NN	2.8925502	1	3761
Beziehung/NN	0.19195144	2	108960
Bier/NN	1.8203075	2	22433
Bild/NN	-1.4240395	1	290560
Bildung/NN	-0.40702686	1	100737
Bildungsexperte/NN	5.3517528	1	324
Bioenergie/NN	4.826865	1	562
Biopatentdiskussion/NN	11.147376	1	1
Bitte/NN	1.4038899	1	16810
Bitterkeit/NN	3.966545	1	1309
Blase/NN	2.6422558	1	4864
Bleibe/NN	3.502252	1	2090
Blick/NN	-0.6648248	1	130601
Blut/NN	1.7638724	4	46469
Blutbad/NN	3.9297233	1	1344
Bläsersatz/NN	6.556595	1	92
Blässe/NN	5.0346427	1	438
Bocklemünd/NE	7.086933	1	58
Boden-/TRU	4.0351653	1	1128
Boden/NN	-0.2992261	1	91458
Bohr/NN	4.865911	1	553
Bolivien/NE	2.739265	1	4462
Bonn/NE	0.4025957	1	48668
Brandwunde/NN	5.498402	1	280
Brennpunkt/NN	3.5746162	2	3946
Brooklyn/NE	4.131023	1	1099
Bruder/NN	-0.014196682	1	68603
Brustkrankheit.../NN	11.013845	1	1
Brutzeltod/NN	11.483849	1	1
Buch/NN	-0.80190545	2	306031
Buchholz/NE	3.3065014	1	2515
Buchpräsentation/NN	5.5136075	1	295
Bukett/NN	5.3884745	1	310
Bundesarmee/NN	5.770116	1	203
Bundesfinanzministerium/NN	3.7555208	1	1601
Bundesland/NN	0.28988677	1	49793
Bundestag/NN	1.2940375	3	55269
Bundestagsausschuß/NN	4.9685435	1	452
Bundestagsdebatte/NN	5.501677	2	567
Burleigh/NE	5.827158	1	216
BüSo-Vorsitzenden/NN	8.297496	1	16
Bürgerblock/NN	6.342185	1	119
Bürgerkrieg/NN	1.715116	1	12142
Bürgerrechts-/TRU	6.6286983	1	84
Bürgerschaft/NN	2.4256344	1	5853
Bürohengst/NN	7.5961185	1	35
CDU/NE	0.24176647	1	53537
CIA/NE	2.4644508	1	5659
CPU/NN	3.9601512	1	1320
Cabaletta/NN	9.659299	1	4
Card-Debatte/NN	10.048764	1	3
Carl/NE	2.206953	2	15409
Carlo/NE	1.9235982	1	10309
Castro/NE	3.239567	1	2721
Cavalleriegefecht/NN	11.013845	1	1
Cellini/NN	6.6056027	1	92
Chamisso/NE	6.6996956	1	82
Chance/NN	0.10342765	2	120862
Chaos/NN	2.237051	2	15046
Charakter/NN	0.8468208	2	57543
Charta/NN	3.1137874	2	5839
China/NE	0.016946152	1	67442
Choleriker/NN	5.9949107	1	179
Choreografie-Talent/NN	11.013845	1	1
Chorus/NE	5.603316	1	269
Christian/NE	0.4741775	1	45825
Clade/NN	5.5531964	1	257
Coltan-Geschäft/NN	10.5283375	1	2
Conférencier/NN	6.8433113	1	70
Cop/NN	4.663396	1	657
Crombholz/NN	11.013845	1	1
Cuba/NE	3.6842592	1	1733
Cybersecurity-Konferenz/NN	11.013845	1	1
DFB-Präsidiumssitzung/NN	8.723839	1	11
DT/NN	2.399593	1	5732
DVDs/NN	2.7332606	1	4306
Dachwohnung.../NE	11.013845	1	1
Damm/NN	2.739775	1	4399
Dampf/NN	2.8534696	1	3926
Datenautobahn/NN	5.0589795	1	437
Datenschützer/NN	4.3189735	1	967
Dean/NE	3.2749758	1	2761
Debattanten/NN	8.151644	1	20
Debatte/NN	6.3439474	378	44455
Debatten,die/NN	11.147376	1	1
Debatten?Der/NN	11.013845	1	1
Debattierclubs/NN	7.4911675	1	37
Degeneration/NN	4.840319	1	530
Deklaration/NN	3.524433	1	1976
Delegierte/NN	3.0562446	3	9499
Delirium/NN	5.0547743	1	445
Demo/NN	2.2743485	1	7038
Demokratie/NN	0.14159523	1	59293
Demonstrant/NN	2.1045253	1	8418
Depeschenschlacht/NN	11.483849	1	1
Derby/NN	4.397027	2	1681
Detail/NN	0.48255244	1	43719
Detmold/NE	3.4913096	1	2102
Deutschland/NE	0.3486395	11	533318
Dialog/NN	2.0274203	5	44085
Diana-Gläubigen/NN	11.013845	1	1
Dienstag/NN	0.48343688	1	45332
Dienstleistungsrichtlinie/NN	4.733917	1	616
Disk./NN	10.60838	1	2
Diskusionen/NN	6.4825907	1	105
Diskussion/NN	5.321684	370	123210
Diskussionen[2/NN	11.301527	1	1
Diskussionenen/NN	11.013845	1	1
Diskussionsbeitrag/NN	3.6909218	1	1772
Diskussionsfeuer/NN	11.483849	1	1
Diskussionspartners/NN	8.166033	1	19
Diskussionspunkt/NN	5.310479	1	361
Diskussionsrunde/NN	5.045617	2	866
Disput/NN	5.5409617	6	1569
Dogmatiker/NN	6.0929523	3	466
Donezker/NN	8.411156	1	14
Doppelschlacht/NN	8.130442	1	19
Doppelstaatsbürgerschaft/NN	7.2821455	1	48
Dorfkrug/NN	7.241084	1	51
Dr./NN	-1.4349831	1	300065
Drache/NN	1.6848109	1	12753
Dramolett/NN	7.587955	1	36
Droge/NN	1.1416869	1	21685
Du/PPE	0.31473264	1	51125
Duell/NN	3.1738026	2	5742
Dummheit/NN	2.575019	1	5307
Durban/NN	5.0283356	1	439
Durchmarsch/NN	5.0065684	1	450
Durst/NN	3.437235	2	4512
Durst/bekommen/NN	11.013845	1	1
Dutzend/NN	1.5881513	1	13576
Dynamik/NN	1.5522888	1	14220
Däne/NN	3.2695458	1	2571
E./NE	1.0506392	1	24865
EDV-Einsatz/NN	6.364658	1	120
EU-Parlament/NN	4.883706	3	1564
EU-Staat/NN	4.558085	7	4869
Ebene/NN	-0.17710194	1	79513
Echtheit/NN	3.503962	1	1988
Eck/NN	1.0893484	1	22576
Eduard/NE	5.5671377	18	5067
Edward/NE	2.485687	1	5921
Ehe/NN	0.7016642	1	33153
Ehefrau/NN	1.3927453	1	16388
Eifer/NN	4.292871	5	4501
Eifersucht/NN	2.9232128	1	3776
Eindringlichkeit/NN	5.05639	1	431
Eindruck/NN	0.0038968618	1	66346
Einfluß/NN	-0.19979466	1	79978
Einführung/NN	-0.17247218	1	81239
Einigungschance/NN	7.592028	1	37
Einsatz/NN	0.11499909	2	119621
Einslive/NN	7.939995	1	26
Einwohnerfragestunde/NN	5.852637	1	193
Einzelgänger/NN	4.565945	2	1473
Eis/NN	1.5027798	1	15384
Eisen/NN	2.0034506	1	9201
Ekzem/NN	4.292871	1	938
Elastoman/NE	9.429725	1	6
Eleganz/NN	3.3336117	1	2390
Elisabeth/NE	1.5398335	1	15745
Eltern-/TRU	4.35311	1	837
Eltern/NN	0.22732623	3	161710
Emotion/NN	2.407657	2	12220
Ende/NN	0.7462735	10	327781
Endkampfe/NN	11.013845	1	1
Enge/NN	2.8833442	1	3715
Entscheidung/NN	-1.1054306	1	203147
Entspannung/NN	2.0343025	1	9103
Entstehung/NN	0.82355386	1	28741
Erbe/NN	1.0368457	1	23592
Erde/NN	0.6435843	3	106583
Erdgasdebatte/NN	10.320698	1	2
Erfahrung/NN	-0.96468383	1	177469
Erfurt/NE	1.5722243	1	14472
Ergebnis/NN	-0.016804513	3	219152
Erhaltung/NN	1.4079804	1	15583
Erhard/NE	2.7877398	1	4437
Erholung/NN	1.9692346	1	9631
Erhöhung/NN	0.8362499	1	28273
Erklärung/NN	0.56908023	2	77302
Erklärungsversuch/NN	4.290163	1	990
Erkrankung/NN	0.47393605	1	41797
Erkundung/NN	3.05623	1	3174
Erotik/NN	3.9551942	2	2643
Erwiderung/NN	4.1123595	1	1149
Erziehungsnotstand/NN	7.5364585	1	40
Es/NN	1.1739897	1	23158
Eskapade/NN	4.663396	1	618
Essay/NN	2.0672424	1	8832
Esse/NN	1.3536658	4	75169
Ethikdebatte/NN	10.558708	18	34
Europa/NE	0.1269339	3	182129
Europäer/NN	1.5665568	1	14104
Eva-Maria/NE	4.1413283	1	1179
Evangelium/NN	1.278887	1	18918
Evergreens/NE	6.9642363	1	65
Evolutionsbiolog/NN	6.037974	1	171
Exen/NN	6.8707104	1	66
Experte/NN	1.4847721	3	48320
Expressionist/NN	4.9655867	1	476
Fachöffentlichkeit/NN	4.710082	1	591
Fahrenheit/NN	4.515563	1	753
Fahrer/NN	2.5093508	4	22203
Fake-Usern/NN	11.013845	1	1
Fall/NN	-1.8839132	1	444449
Falte/NN	3.1663265	1	2907
Familie/NN	-1.1418846	1	215768
Familien-Palais/NN	11.013845	1	1
