cw	pmi_4	raw_4	freq
10°C/NE	4.766953	5	154
10°C/NN	4.607888	1	34
11./ADJ	-0.15883605	1	4195
11/CAR	-1.2949276	11	173178
110/CAR	-0.5802718	2	12617
1100/CAR	0.42167723	1	2231
12/CAR	-0.88225126	19	186423
120/CAR	-1.1717848	2	22039
120cbm/ADJ	7.4411016	1	2
120qm/ADJ	8.470721	1	1
120°/ADJ	3.946761	1	63
125g/ADJ	4.225087	1	54
12°/ADJ	4.254159	2	91
12°C/ADJ	5.921276	1	9
13/CAR	-1.2961491	10	151491
130/CAR	0.60196394	7	13176
1300/CAR	0.1612411	1	2910
13°C/NN	4.668513	1	33
14&#x2019;C/NN	8.134249	1	1
14/CAR	-1.1267722	13	161878
140-jährigen/ADJ	4.6774817	1	30
14°/ADJ	4.1243215	1	53
14°C/NN	4.9864087	2	45
15.November/ADJ	4.260076	1	48
15/CAR	0.17959388	66	214077
150/CAR	-0.4593894	6	31871
1500/CAR	0.21057299	3	8116
150/ADJ	4.6120987	1	34
155.-/VVF	8.000717	1	1
15°/ADJ	3.5962875	2	180
15°/VVF	4.3999863	1	42
15°C/NE	4.9085393	5	128
16,8°C/NN	8.000717	1	1
16/CAR	-0.7114336	18	148526
160/CAR	0.13122018	4	12062
161/CAR	-0.053805165	1	3807
16°/ADJ	4.648623	2	63
16°C/NE	6.2734966	1	8
17.April/ADJ	3.914741	1	75
17.°°/ADJ	7.0356364	1	3
17/CAR	-1.5056783	7	132723
1700/CAR	0.9650088	2	2617
17°/ADJ	4.199626	1	51
17°C./NE	8.000717	1	1
17°C/NE	5.4901023	2	31
17°C/NN	6.3424892	1	6
17º/ADJ	7.4411016	1	2
18-19°C/NN	8.000717	1	1
18-20°C/NN	6.100477	2	15
18.°°/ADJ	6.944665	1	3
18/CAR	-0.45334846	24	153758
180/CAR	-1.3905059	1	13516
185/CAR	-0.18292424	1	4267
1860)./NE	8.000717	1	1
1861)./NE	8.000717	1	1
1861/CAR	1.7330426	3	1917
1885/CAR	0.6147889	1	1999
1887/CAR	0.55859095	1	2102
18°/ADJ	3.4376721	1	105
18°C/NE	4.375266	3	132
19.Jh./NE	3.1594875	1	137
19/CAR	-2.047122	4	135214
1901/CAR	0.11915753	1	3313
190Euro/NN	7.3075705	1	2
190ml/NN	7.246946	1	3
190/NN	6.9021053	1	3
1930-er/PPE	5.110346	1	19
1934/CAR	-0.76296467	1	7927
1941/CAR	-0.940828	1	9283
1942/CAR	-0.7885999	1	8047
1945/CAR	-0.21107088	8	34755
1962/CAR	-1.0395461	1	10335
1963/CAR	-1.0526036	1	10534
1985/CAR	-2.1441367	1	31243
1987/CAR	-2.1626747	1	32079
1988/CAR	-2.2224004	1	33993
1990/CAR	-1.457564	4	62247
1990er/NN	1.3733928	3	2417
19901999/NN	8.134249	1	1
199099/NN	8.134249	1	1
1992/CAR	-2.088744	2	59269
1994/CAR	-1.5818543	4	71734
1995/CAR	-3.080619	1	79890
1996/CAR	-0.96851164	9	87760
1997/98/CAR	0.8743288	1	1397
1997/CAR	-2.595442	2	99247
1998/CAR	-0.14604655	29	123766
1999/CAR	-1.8682466	6	144007
19°/ADJ	4.624838	1	32
19°C/NN	6.109867	1	7
1El/NN	6.7479544	1	5
1TL/ADJ	4.8490505	1	26
1TL/NE	6.2300115	1	7
1h/ADJ	3.4762151	1	112
1mal/NN	3.2008033	1	133
1x/NN	1.2330148	2	2006
1°C/NN	5.030303	3	65
2,5/CAR	-1.396424	1	13138
2,7°C/NE	8.000717	2	2
2-/TRU	1.2340938	1	983
2-3°C/NN	6.1289153	1	7
2-Bettzimmer/NN	5.1173143	1	20
2-mal/ADV	2.9572923	2	340
2./ADJ	-2.013023	6	166574
2./ADV	-0.8014056	8	79919
