_id	warm.nobound5-5lex.PPMIweight.LENGTHFOC.SOCPOSlex.x	warm.nobound5-5lex.PPMIweight.LENGTHFOC.SOCPOSlex.y	warm.nobound5-5lex.PPMIweight.LENGTH5000.SOCPOSlex.x	warm.nobound5-5lex.PPMIweight.LENGTH5000.SOCPOSlex.y	warm.nobound5-5lex.PPMIweight.LENGTH1000.SOCPOSlex.x	warm.nobound5-5lex.PPMIweight.LENGTH1000.SOCPOSlex.y	warm.nobound5-5lex.PPMIselection.LENGTHFOC.SOCPOSlex.x	warm.nobound5-5lex.PPMIselection.LENGTHFOC.SOCPOSlex.y	warm.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSlex.x	warm.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSlex.y	warm.nobound5-5lex.PPMIselection.LENGTH1000.SOCPOSlex.x	warm.nobound5-5lex.PPMIselection.LENGTH1000.SOCPOSlex.y	warm.nobound5-5lex.PPMIno.LENGTHFOC.SOCPOSlex.x	warm.nobound5-5lex.PPMIno.LENGTHFOC.SOCPOSlex.y	warm.nobound5-5lex.PPMIno.LENGTH5000.SOCPOSlex.x	warm.nobound5-5lex.PPMIno.LENGTH5000.SOCPOSlex.y	warm.nobound5-5lex.PPMIno.LENGTH1000.SOCPOSlex.x	warm.nobound5-5lex.PPMIno.LENGTH1000.SOCPOSlex.y	warm.nobound5-5all.PPMIweight.LENGTHFOC.SOCPOSlex.x	warm.nobound5-5all.PPMIweight.LENGTHFOC.SOCPOSlex.y	warm.nobound5-5all.PPMIweight.LENGTH5000.SOCPOSlex.x	warm.nobound5-5all.PPMIweight.LENGTH5000.SOCPOSlex.y	warm.nobound5-5all.PPMIweight.LENGTH1000.SOCPOSlex.x	warm.nobound5-5all.PPMIweight.LENGTH1000.SOCPOSlex.y	warm.nobound5-5all.PPMIselection.LENGTHFOC.SOCPOSlex.x	warm.nobound5-5all.PPMIselection.LENGTHFOC.SOCPOSlex.y	warm.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSlex.x	warm.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSlex.y	warm.nobound5-5all.PPMIselection.LENGTH1000.SOCPOSlex.x	warm.nobound5-5all.PPMIselection.LENGTH1000.SOCPOSlex.y	warm.nobound5-5all.PPMIno.LENGTHFOC.SOCPOSlex.x	warm.nobound5-5all.PPMIno.LENGTHFOC.SOCPOSlex.y	warm.nobound5-5all.PPMIno.LENGTH5000.SOCPOSlex.x	warm.nobound5-5all.PPMIno.LENGTH5000.SOCPOSlex.y	warm.nobound5-5all.PPMIno.LENGTH1000.SOCPOSlex.x	warm.nobound5-5all.PPMIno.LENGTH1000.SOCPOSlex.y	warm.nobound3-3lex.PPMIweight.LENGTHFOC.SOCPOSlex.x	warm.nobound3-3lex.PPMIweight.LENGTHFOC.SOCPOSlex.y	warm.nobound3-3lex.PPMIweight.LENGTH5000.SOCPOSlex.x	warm.nobound3-3lex.PPMIweight.LENGTH5000.SOCPOSlex.y	warm.nobound3-3lex.PPMIweight.LENGTH1000.SOCPOSlex.x	warm.nobound3-3lex.PPMIweight.LENGTH1000.SOCPOSlex.y	warm.nobound3-3lex.PPMIselection.LENGTHFOC.SOCPOSlex.x	warm.nobound3-3lex.PPMIselection.LENGTHFOC.SOCPOSlex.y	warm.nobound3-3lex.PPMIselection.LENGTH5000.SOCPOSlex.x	warm.nobound3-3lex.PPMIselection.LENGTH5000.SOCPOSlex.y	warm.nobound3-3lex.PPMIselection.LENGTH1000.SOCPOSlex.x	warm.nobound3-3lex.PPMIselection.LENGTH1000.SOCPOSlex.y	warm.nobound3-3lex.PPMIno.LENGTHFOC.SOCPOSlex.x	warm.nobound3-3lex.PPMIno.LENGTHFOC.SOCPOSlex.y	warm.nobound3-3lex.PPMIno.LENGTH5000.SOCPOSlex.x	warm.nobound3-3lex.PPMIno.LENGTH5000.SOCPOSlex.y	warm.nobound3-3lex.PPMIno.LENGTH1000.SOCPOSlex.x	warm.nobound3-3lex.PPMIno.LENGTH1000.SOCPOSlex.y	warm.nobound3-3all.PPMIweight.LENGTHFOC.SOCPOSlex.x	warm.nobound3-3all.PPMIweight.LENGTHFOC.SOCPOSlex.y	warm.nobound3-3all.PPMIweight.LENGTH5000.SOCPOSlex.x	warm.nobound3-3all.PPMIweight.LENGTH5000.SOCPOSlex.y	warm.nobound3-3all.PPMIweight.LENGTH1000.SOCPOSlex.x	warm.nobound3-3all.PPMIweight.LENGTH1000.SOCPOSlex.y	warm.nobound3-3all.PPMIselection.LENGTHFOC.SOCPOSlex.x	warm.nobound3-3all.PPMIselection.LENGTHFOC.SOCPOSlex.y	warm.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSlex.x	warm.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSlex.y	warm.nobound3-3all.PPMIselection.LENGTH1000.SOCPOSlex.x	warm.nobound3-3all.PPMIselection.LENGTH1000.SOCPOSlex.y	warm.nobound3-3all.PPMIno.LENGTHFOC.SOCPOSlex.x	warm.nobound3-3all.PPMIno.LENGTHFOC.SOCPOSlex.y	warm.nobound3-3all.PPMIno.LENGTH5000.SOCPOSlex.x	warm.nobound3-3all.PPMIno.LENGTH5000.SOCPOSlex.y	warm.nobound3-3all.PPMIno.LENGTH1000.SOCPOSlex.x	warm.nobound3-3all.PPMIno.LENGTH1000.SOCPOSlex.y	warm.nobound10-10lex.PPMIweight.LENGTHFOC.SOCPOSlex.x	warm.nobound10-10lex.PPMIweight.LENGTHFOC.SOCPOSlex.y	warm.nobound10-10lex.PPMIweight.LENGTH5000.SOCPOSlex.x	warm.nobound10-10lex.PPMIweight.LENGTH5000.SOCPOSlex.y	warm.nobound10-10lex.PPMIweight.LENGTH1000.SOCPOSlex.x	warm.nobound10-10lex.PPMIweight.LENGTH1000.SOCPOSlex.y	warm.nobound10-10lex.PPMIselection.LENGTHFOC.SOCPOSlex.x	warm.nobound10-10lex.PPMIselection.LENGTHFOC.SOCPOSlex.y	warm.nobound10-10lex.PPMIselection.LENGTH5000.SOCPOSlex.x	warm.nobound10-10lex.PPMIselection.LENGTH5000.SOCPOSlex.y	warm.nobound10-10lex.PPMIselection.LENGTH1000.SOCPOSlex.x	warm.nobound10-10lex.PPMIselection.LENGTH1000.SOCPOSlex.y	warm.nobound10-10lex.PPMIno.LENGTHFOC.SOCPOSlex.x	warm.nobound10-10lex.PPMIno.LENGTHFOC.SOCPOSlex.y	warm.nobound10-10lex.PPMIno.LENGTH5000.SOCPOSlex.x	warm.nobound10-10lex.PPMIno.LENGTH5000.SOCPOSlex.y	warm.nobound10-10lex.PPMIno.LENGTH1000.SOCPOSlex.x	warm.nobound10-10lex.PPMIno.LENGTH1000.SOCPOSlex.y	warm.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSlex.x	warm.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSlex.y	warm.nobound10-10all.PPMIweight.LENGTH5000.SOCPOSlex.x	warm.nobound10-10all.PPMIweight.LENGTH5000.SOCPOSlex.y	warm.nobound10-10all.PPMIweight.LENGTH1000.SOCPOSlex.x	warm.nobound10-10all.PPMIweight.LENGTH1000.SOCPOSlex.y	warm.nobound10-10all.PPMIselection.LENGTHFOC.SOCPOSlex.x	warm.nobound10-10all.PPMIselection.LENGTHFOC.SOCPOSlex.y	warm.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSlex.x	warm.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSlex.y	warm.nobound10-10all.PPMIselection.LENGTH1000.SOCPOSlex.x	warm.nobound10-10all.PPMIselection.LENGTH1000.SOCPOSlex.y	warm.nobound10-10all.PPMIno.LENGTHFOC.SOCPOSlex.x	warm.nobound10-10all.PPMIno.LENGTHFOC.SOCPOSlex.y	warm.nobound10-10all.PPMIno.LENGTH5000.SOCPOSlex.x	warm.nobound10-10all.PPMIno.LENGTH5000.SOCPOSlex.y	warm.nobound10-10all.PPMIno.LENGTH1000.SOCPOSlex.x	warm.nobound10-10all.PPMIno.LENGTH1000.SOCPOSlex.y
Kopf/NN	2.636340642880833	17.57401260554001	18.166994602367005	-7.9572530131213854	-8.053391405595038	18.51516034531981	2.636340642880833	17.57401260554001	18.166994602367005	-7.9572530131213854	-8.053391405595038	18.51516034531981	-11.17322439804885	38.295036577445515	25.905893161178554	6.243082462296741	-31.976581843377463	24.450027460867396	0.21895964091428127	-4.893669518118546	-12.256858949343256	1.5464962041087944	10.875291288867018	38.74921857620282	0.21895964091428127	-4.893669518118546	-12.256858949343256	1.5464962041087944	10.875291288867018	38.74921857620282	-20.5367987110719	36.90610705221895	27.613465298803195	-14.613038814949693	0.3784250669208775	47.31330794663897	-13.942614514062154	0.13651333416827283	0.9986464286647647	-15.939445881465451	5.771466671111512	-32.50694493265644	-13.942614514062154	0.13651333416827283	0.9986464286647647	-15.939445881465451	5.771466671111512	-32.50694493265644	19.651233885729642	12.143223383116577	-3.696462141823731	-19.2578783093221	-21.035868789568926	28.883049084634706	9.959007503997114	-11.47996816184337	-10.476470851755252	-15.147791654267774	-27.105304697993635	17.536118780672428	9.959007503997114	-11.47996816184337	-10.476470851755252	-15.147791654267774	-27.105304697993635	17.536118780672428	-20.90946605829051	22.130092529724557	31.81817567966819	-4.1995031533872815	-36.28946397285817	-7.3638240802137505	-2.3747196723132245	-6.112161103694111	-31.056221167736613	-4.119407769371698	-18.358700064347964	30.55828047649747	-2.3747196723132245	-6.112161103694111	-31.056221167736613	-4.119407769371698	-18.358700064347964	30.55828047649747	13.120897570480004	16.55247852253737	-23.855605948015697	4.116060035316825	21.725550837149985	45.24361359872306	6.443612871503011	8.550892624403712	-1.1407590271981403	12.478819748784673	20.327115620453842	30.035202763883948	6.443612871503011	8.550892624403712	-1.1407590271981403	12.478819748784673	20.327115620453842	30.035202763883948	-33.05198286659885	-5.568276883532344	23.403814968521182	16.70367491365201	46.568803488720484	-24.721931916563154
um's/VVF	-15.426275985216044	-30.15748534685273	-9.207147289837353	-40.11828702956066	39.73886488406523	-9.793544556290959	-15.426275985216044	-30.15748534685273	-9.207147289837353	-40.11828702956066	39.73886488406523	-9.793544556290959	-24.24357793015419	-38.879796797908824	12.225802741448236	-16.171564232813708	-12.760788020481971	-13.522989932205379	-1.0255114632444629	-21.88870813141602	5.4181280986157265	-10.975888904493344	-42.40835909770633	17.83678871837532	-1.0255114632444629	-21.88870813141602	5.4181280986157265	-10.975888904493344	-42.40835909770633	17.83678871837532	-33.87623012344772	-43.00387667819828	-5.048851448251956	-14.540420855419947	-39.70688881166148	21.99046504713012	1.9962078288639036	40.39491112824986	32.36758132533563	-15.913901760087738	-5.69192310085916	29.62140693660237	1.9962078288639036	40.39491112824986	32.36758132533563	-15.913901760087738	-5.69192310085916	29.62140693660237	17.99557852671436	-36.67207982338695	-13.562400442346036	17.185493655557192	16.699850805470835	-34.16747447830646	3.8721337788435286	37.78433915709606	11.608555917728497	2.2574795918902404	41.61749567866426	-9.75296223349779	3.8721337788435286	37.78433915709606	11.608555917728497	2.2574795918902404	41.61749567866426	-9.75296223349779	-47.51900177886663	-20.492810407770907	23.942097113251705	-18.421513897470735	-11.938854839171405	16.429129758348722	-22.171102340888154	-20.61340571310792	2.0366399795093297	-4.008374724566677	-49.82579456716182	-25.65570469542792	-22.171102340888154	-20.61340571310792	2.0366399795093297	-4.008374724566677	-49.82579456716182	-25.65570469542792	-37.15151184701053	-3.8066075246950777	-22.0669028011851	-13.005729158976827	-26.27812055883153	26.312580167626795	20.920889735074283	11.930162572082198	-0.15667352369941742	-28.28043239264786	-20.38049535906793	49.1821289180932	20.920889735074283	11.930162572082198	-0.15667352369941742	-28.28043239264786	-20.38049535906793	49.1821289180932	2.322699737690837	31.24248592872544	7.626965864392875	7.828165983847579	5.7043254380678565	-48.38611664071981
lichtdurchflutet/ADJ	6.251024880314999	-10.713001670801694	-20.627993066959732	10.506401779809305	-14.642390696233496	-27.036087050025873	6.251024880314999	-10.713001670801694	-20.627993066959732	10.506401779809305	-14.642390696233496	-27.036087050025873	9.69320018927119	-3.7985974235638333	-16.704731615997837	23.982218646801016	14.754154724204044	15.22462555515793	-27.123560472443785	1.8719498638722833	8.865039347022764	9.748934001465333	14.50933239395604	-8.669033196080361	-27.123560472443785	1.8719498638722833	8.865039347022764	9.748934001465333	14.50933239395604	-8.669033196080361	16.204691914156058	4.488349701706035	14.46760873725636	27.070142074859717	34.298689485978	4.521989531541261	-7.685076373490983	20.246888928593783	2.9716876687016094	17.676702066619377	-4.49373852713222	3.7952099035263336	-7.685076373490983	20.246888928593783	2.9716876687016094	17.676702066619377	-4.49373852713222	3.7952099035263336	-7.414805736258282	-12.864619841737946	-22.412536528649216	2.434572928408489	-24.87096922737578	7.06063985028385	8.605075762674083	9.966560431914322	-10.973742071706791	16.9536306257623	-8.517052818198152	3.6715357018547823	8.605075762674083	9.966560431914322	-10.973742071706791	16.9536306257623	-8.517052818198152	3.6715357018547823	11.19917788682494	8.162867563059441	3.4201459816077073	20.461901411825206	-2.460009435581999	-33.042440745366996	-30.549486916799413	16.958039838053402	10.050359264690114	-11.828677905333718	14.003665720145744	-6.108519923793867	-30.549486916799413	16.958039838053402	10.050359264690114	-11.828677905333718	14.003665720145744	-6.108519923793867	-19.000474409134743	17.597843020564028	-13.287035396929872	1.8671706406187416	35.566076901449534	-17.07618153422009	-15.677305063531854	31.27762267792645	-4.810736084876315	-10.624686629225007	9.171434504415268	-21.759018251228017	-15.677305063531854	31.27762267792645	-4.810736084876315	-10.624686629225007	9.171434504415268	-21.759018251228017	-12.321239306757962	3.8643444036646275	-16.70346367273102	19.02280986428975	23.174108545778346	32.34390581448747
Gericht/NN	43.31265202195916	24.901694506939545	-28.674263556858754	-19.482282002096834	9.072101482401202	-39.58936056165586	43.31265202195916	24.901694506939545	-28.674263556858754	-19.482282002096834	9.072101482401202	-39.58936056165586	35.33549049085593	10.829172275316099	-31.88116906196763	-52.46797835163445	10.053017277867308	-58.29318301672124	44.65303819379537	1.060340898532593	42.074367410857064	-2.468030988340701	-31.895346237392307	-26.138449799394216	44.65303819379537	1.060340898532593	42.074367410857064	-2.468030988340701	-31.895346237392307	-26.138449799394216	36.5084861062078	21.462944236180693	-55.27850059616151	-10.441756017658168	-25.64054727767057	-51.04409927720538	1.572474278812981	36.30359403891134	37.20518603250031	1.0947097515664732	-30.963948330377892	13.505337001416295	1.572474278812981	36.30359403891134	37.20518603250031	1.0947097515664732	-30.963948330377892	13.505337001416295	8.283934981667391	-32.885957688511176	16.207712010179588	33.256582566151074	45.28452171887286	-6.004912240062971	34.37781493378922	16.355513614118397	27.343647801815546	24.40592848326361	3.943597706270151	-27.980828818298782	34.37781493378922	16.355513614118397	27.343647801815546	24.40592848326361	3.943597706270151	-27.980828818298782	23.293933475276717	33.0428600525094	-31.65643448515217	-32.87133746536709	35.26652239405849	27.846748260784835	34.35226743272921	-24.37191819175085	-19.568773597527393	-38.062355382721435	-53.37422284984468	-9.4374723785722	34.35226743272921	-24.37191819175085	-19.568773597527393	-38.062355382721435	-53.37422284984468	-9.4374723785722	44.900361309354786	-23.162099834643353	60.02834140480687	-24.56356677276974	-57.67833734088	-31.988968227629137	36.79885860901359	-38.37671476922094	23.704001467677564	-41.211896930016806	-57.79175300277245	-7.907202659472805	36.79885860901359	-38.37671476922094	23.704001467677564	-41.211896930016806	-57.79175300277245	-7.907202659472805	-1.7522222008827475	-41.04978230301451	-2.4048589036792247	-66.78957871488024	-69.63658821943844	-0.7178594999836312
herausholen/VVF	37.94504426466279	3.728799829712574	-0.3017568584844534	15.549906124568778	13.451776951839122	10.73456527182145	37.94504426466279	3.728799829712574	-0.3017568584844534	15.549906124568778	13.451776951839122	10.73456527182145	8.211063536753242	13.727573965700286	20.486846877058344	30.884318832323615	-1.5627200514785498	29.130891943256657	34.63751659663145	25.470188880588214	-7.520219223777429	12.273339135129282	-28.049736709406325	22.723180353727148	34.63751659663145	25.470188880588214	-7.520219223777429	12.273339135129282	-28.049736709406325	22.723180353727148	-22.294340423960644	-0.6041712856040345	33.85546583695227	16.254002112485622	-34.43682999255594	31.6209861516604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.390965554461173	-35.83704440959086	5.4194286024407585	20.474713408566508	-24.247007781996892	14.297205824312524	12.390965554461173	-35.83704440959086	5.4194286024407585	20.474713408566508	-24.247007781996892	14.297205824312524	39.019262388887796	5.483727140736889	-38.2315210564393	30.07012605857811	9.52614777558135	39.212768633521485	7.407801069918172	-32.31517599516401	-23.839444035826126	5.619597064338899	-11.53124978614966	18.982818449378847	7.407801069918172	-32.31517599516401	-23.839444035826126	5.619597064338899	-11.53124978614966	18.982818449378847	-22.744309517583403	-31.921530782786785	28.093724446320163	47.95002570993948	23.122639155374394	-34.558361044740806
aussprechen/VVF	-15.039092325803432	-14.547236569701413	-25.323178910587004	-20.051236170222996	21.022320823878832	-30.13739320944111	-15.039092325803432	-14.547236569701413	-25.323178910587004	-20.051236170222996	21.022320823878832	-30.13739320944111	-30.456221181266933	-14.799646448001807	-15.648278014509266	-20.929202414997334	-31.00874404929647	-24.600798952184668	-20.425580816160956	-20.771198740561374	38.676965581239664	-3.637632122425878	-21.363435717209704	2.671434063422501	-20.425580816160956	-20.771198740561374	38.676965581239664	-3.637632122425878	-21.363435717209704	2.671434063422501	-37.428746751568816	-23.50312320010183	-29.31585467392814	-13.149369153680285	-25.74907134411163	-10.364334844221744	-3.734761357669015	-15.186644067074326	24.846854977587263	-4.7299535642650365	-32.57893703766361	-8.577235435825973	-3.734761357669015	-15.186644067074326	24.846854977587263	-4.7299535642650365	-32.57893703766361	-8.577235435825973	-11.358409960359634	19.439427591229457	12.779812249184257	27.165548933951555	14.036183572214618	3.013379588257507	-21.89884572094653	12.279766132179406	25.62790682473507	21.021763668817346	14.84545281161856	-16.842427126706987	-21.89884572094653	12.279766132179406	25.62790682473507	21.021763668817346	14.84545281161856	-16.842427126706987	-29.217741664849246	-4.187197944021078	-23.550160573648753	-29.22024233310226	2.2631889019877187	19.83565955825885	-32.10228941875301	-4.762101159496742	-20.221374722529916	-35.64366952194368	-43.56103217528125	0.11445952947163447	-32.10228941875301	-4.762101159496742	-20.221374722529916	-35.64366952194368	-43.56103217528125	0.11445952947163447	-46.818619138804415	-36.02281279449042	24.066608738920806	-44.889235677071376	-59.80975135050242	7.14883761090594	14.270170548277136	31.223316316958012	24.33914686117162	-38.1078490800187	-28.38985674009873	14.04204993308252	14.270170548277136	31.223316316958012	24.33914686117162	-38.1078490800187	-28.38985674009873	14.04204993308252	43.18875878568323	40.83525352438126	10.17552117268378	-31.587107325842517	-17.12225517442405	-24.561940809386638
Wir-Gefühl/NN	-51.62632218936059	-21.109325030475055	-20.644218482368856	-15.672573133874772	3.2914299882921476	-42.99778988887149	-51.62632218936059	-21.109325030475055	-20.644218482368856	-15.672573133874772	3.2914299882921476	-42.99778988887149	-23.745648121953884	-13.836794936327491	-27.86245457027941	-30.568917986424985	15.562730120175171	-44.16103290503369	-52.132793172717086	-8.553109184761386	34.063099326231246	2.182863799879168	-21.318927413968566	-30.009730422324232	-52.132793172717086	-8.553109184761386	34.063099326231246	2.182863799879168	-21.318927413968566	-30.009730422324232	-43.88261235117552	-21.088359928529833	-36.52069836612381	5.656720583838765	-9.728730976793793	-34.84410246612085	-29.708671230624642	-36.612735457235736	16.568245315606134	15.634973752161645	-18.299064686638587	3.2811997946434324	-29.708671230624642	-36.612735457235736	16.568245315606134	15.634973752161645	-18.299064686638587	3.2811997946434324	13.497272720002362	56.84036874028442	21.888916907581404	23.951640017733183	29.03969168660814	2.937896903195378	-45.44202433243674	-19.261634179072274	17.064377272028302	24.10703018514028	-11.283921014251192	-27.917022104415185	-45.44202433243674	-19.261634179072274	17.064377272028302	24.10703018514028	-11.283921014251192	-27.917022104415185	47.233158115679466	1.624512925121649	-27.538123232723045	-13.237577825674977	25.949383809510437	11.282921155014037	-32.12894652069256	-0.8288096181154062	-16.167024227445825	-30.663127751437226	-14.988544221139502	-39.2690118028336	-32.12894652069256	-0.8288096181154062	-16.167024227445825	-30.663127751437226	-14.988544221139502	-39.2690118028336	-35.59140207817624	-38.67876753272522	43.16870981146612	-30.806981783223897	-47.808064038865425	-13.436339659284263	11.79137069614095	34.85164127783528	17.735529266479876	-35.33468781181959	-34.43636328560887	-3.8138247327778	11.79137069614095	34.85164127783528	17.735529266479876	-35.33468781181959	-34.43636328560887	-3.8138247327778	47.468980744902105	30.56942719572806	12.29643986870738	-44.03755519708073	-44.71478593791783	-7.344950657765476
präsentieren/VVF	2.265043526046262	-9.967297756201095	-23.928229118168517	-13.913236598070736	11.607032596011592	-32.8852834672208	2.265043526046262	-9.967297756201095	-23.928229118168517	-13.913236598070736	11.607032596011592	-32.8852834672208	8.672508304915752	-11.66681364511578	-26.892651122790348	-5.1148842144797255	41.498285833605095	-10.674446915626781	-28.53043945907442	4.646053266699678	25.178583823818773	0.6762518779068066	5.479241914898528	-35.94014495579272	-28.53043945907442	4.646053266699678	25.178583823818773	0.6762518779068066	5.479241914898528	-35.94014495579272	47.331297647167254	-23.042896983072527	-20.846152185182298	21.04225485034936	38.47697074322623	-31.576910708519666	15.37649923505474	-8.67130872298821	23.666924195050303	10.884300250311721	10.534901673302494	33.974329989501776	15.37649923505474	-8.67130872298821	23.666924195050303	10.884300250311721	10.534901673302494	33.974329989501776	-28.212789018667046	-25.890761016655965	24.806038106904566	9.155518199173894	-2.279229330627813	-24.389217985050475	7.86741998479763	13.230123692437443	14.114002968758959	15.328030496533636	21.21324148873461	21.380649360171486	7.86741998479763	13.230123692437443	14.114002968758959	15.328030496533636	21.21324148873461	21.380649360171486	7.432061935068981	-41.908305612086025	-27.697753315114568	7.027159688124748	30.637116681749664	-23.029576179976974	-34.5783907320661	9.76604477065785	-4.212926853655541	-33.12403781209995	-3.325822382434646	-43.40123294538908	-34.5783907320661	9.76604477065785	-4.212926853655541	-33.12403781209995	-3.325822382434646	-43.40123294538908	-20.32501797271086	3.610846100838028	10.043026318848808	-30.403581999712923	-7.664040783056415	-43.67305799589561	-5.042643102214417	36.757896373427364	11.498946510249482	-27.23643905169427	-26.218560733695146	-25.994606763240228	-5.042643102214417	36.757896373427364	11.498946510249482	-27.23643905169427	-26.218560733695146	-25.994606763240228	23.383074438377854	-12.986271317907702	-36.13715436210596	-14.013825916141034	-24.559248719627384	33.79395305855617
Straßenrand/NN	6.9707647743056445	1.765286304724637	-9.466546685575556	14.157676598381675	3.6403624696148764	1.8815888070775633	6.9707647743056445	1.765286304724637	-9.466546685575556	14.157676598381675	3.6403624696148764	1.8815888070775633	-3.0687140197094305	15.618237802085288	8.45770077081399	6.847784336504774	18.912960513566485	30.619991902077157	5.666001622649312	-14.783925474091989	-1.0464450029147365	-0.0025573301658910657	-6.431871027572613	27.320723517688904	5.666001622649312	-14.783925474091989	-1.0464450029147365	-0.0025573301658910657	-6.431871027572613	27.320723517688904	-18.153154652655623	8.183763046230405	16.783706453950906	-6.932779629743253	17.743069753708824	3.540916419937893	-2.3393464012349576	3.395565780689023	2.623011704094305	3.113322673155384	-10.903982265570662	-19.58767623948545	-2.3393464012349576	3.395565780689023	2.623011704094305	3.113322673155384	-10.903982265570662	-19.58767623948545	12.403408657010877	6.169674366987975	-17.671003386110147	7.330121186346253	-20.48576581372772	15.95629993898002	3.411628071475397	-0.24298580021413071	5.851819947949039	-1.294055849129118	-16.319375314167818	13.690492568068896	3.411628071475397	-0.24298580021413071	5.851819947949039	-1.294055849129118	-16.319375314167818	13.690492568068896	-14.463087687630532	17.969435804562835	16.689278258211292	-4.568678248735147	-32.44792671335802	-13.161817898318958	-11.194075085133877	-0.598156213248482	-14.14217175623459	0.4417527957164492	-3.019438746721292	8.141469677835634	-11.194075085133877	-0.598156213248482	-14.14217175623459	0.4417527957164492	-3.019438746721292	8.141469677835634	-5.923499120303031	30.920285456707134	-32.5029188600908	-11.772202383684673	40.541770117067024	25.466537770213737	-7.2576368313923565	16.289982267999946	8.389078254722632	6.733958080828569	9.440340941634135	0.5883313978276394	-7.2576368313923565	16.289982267999946	8.389078254722632	6.733958080828569	9.440340941634135	0.5883313978276394	-25.256450079171135	9.098024849520186	5.268383930407101	16.357069725432794	43.537768572231435	1.3425980001777844
Lagerung/NN	32.18565828641479	13.412021121600125	1.8119668132115534	28.083178413053872	-16.977170654398208	-18.784721250285227	32.18565828641479	13.412021121600125	1.8119668132115534	28.083178413053872	-16.977170654398208	-18.784721250285227	29.58876179428427	22.756202838214687	5.722272944791309	40.38411737463286	21.686764409322087	-37.8336991295782	15.878170983069547	23.43498419752244	-2.8752445862758176	44.53208804068831	23.564438960646694	-8.125720283018474	15.878170983069547	23.43498419752244	-2.8752445862758176	44.53208804068831	23.564438960646694	-8.125720283018474	24.639630987663807	29.92491481212176	38.05432556412018	23.679037334242413	2.6279084529564085	-51.756965364874205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.38401066327117	-14.8399100067393	25.755680111256765	12.058064210821035	-4.8468156306106	-35.910062952125024	27.38401066327117	-14.8399100067393	25.755680111256765	12.058064210821035	-4.8468156306106	-35.910062952125024	40.800572291539034	-9.604813167682467	-5.636610098951948	46.21021813968146	-31.990903920192384	-24.57180941895381	20.03275492423273	-30.60798004401828	-31.46153225654683	0.0889213313834092	-41.46032789197145	-8.507727280448352	20.03275492423273	-30.60798004401828	-31.46153225654683	0.0889213313834092	-41.46032789197145	-8.507727280448352	-12.499037962486536	-35.92469844217489	3.3163505305348706	52.11321174207684	-39.623669504640965	9.967049235706583
