size	max_diss	av_diss	diameter	separation	medoid	medoid_i
6	3.4209516848160058	2.1297979604822372	3.971969227520428	2.8542983464321896	warm.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSlex	1
6	2.384146907054244	1.6810480428340384	3.135133060502976	2.186106105298426	warm.nobound10-10all.PPMIweight.LENGTH5000.SOCPOSlex	2
6	3.230113025009477	1.9101347521770216	3.726499592957349	2.186106105298426	warm.nobound10-10lex.PPMIselection.LENGTH5000.SOCPOSlex	3
6	3.2244960482403897	2.021574290023098	3.800470127804384	2.7169283029066373	warm.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSlex	4
12	3.155404181560403	2.1626096717765546	3.987413371950917	2.5350861439510988	warm.nobound3-3lex.PPMIselection.LENGTH5000.SOCPOSlex	5
6	3.3796983109627865	2.0930167079921134	3.884112473768544	2.83095317034056	warm.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSlex	6
6	2.7901874081721716	1.808872223868101	3.234089284072417	1.8307284073454144	warm.nobound5-5lex.PPMIweight.LENGTH5000.SOCPOSlex	7
6	2.9160175438318707	1.7721475851893749	3.4027863082388334	1.8307284073454144	warm.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSlex	8
