warm.nobound10-10all.PPMIno.LENGTH1000.SOCPOSlex	warm.nobound10-10all.PPMIno.LENGTH5000.SOCPOSlex	warm.nobound10-10all.PPMIno.LENGTHFOC.SOCPOSlex	warm.nobound10-10all.PPMIselection.LENGTH1000.SOCPOSlex	warm.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSlex	warm.nobound10-10all.PPMIselection.LENGTHFOC.SOCPOSlex	warm.nobound10-10all.PPMIweight.LENGTH1000.SOCPOSlex	warm.nobound10-10all.PPMIweight.LENGTH5000.SOCPOSlex	warm.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSlex	warm.nobound10-10lex.PPMIno.LENGTH1000.SOCPOSlex	warm.nobound10-10lex.PPMIno.LENGTH5000.SOCPOSlex	warm.nobound10-10lex.PPMIno.LENGTHFOC.SOCPOSlex	warm.nobound10-10lex.PPMIselection.LENGTH1000.SOCPOSlex	warm.nobound10-10lex.PPMIselection.LENGTH5000.SOCPOSlex	warm.nobound10-10lex.PPMIselection.LENGTHFOC.SOCPOSlex	warm.nobound10-10lex.PPMIweight.LENGTH1000.SOCPOSlex	warm.nobound10-10lex.PPMIweight.LENGTH5000.SOCPOSlex	warm.nobound10-10lex.PPMIweight.LENGTHFOC.SOCPOSlex	warm.nobound3-3all.PPMIno.LENGTH1000.SOCPOSlex	warm.nobound3-3all.PPMIno.LENGTH5000.SOCPOSlex	warm.nobound3-3all.PPMIno.LENGTHFOC.SOCPOSlex	warm.nobound3-3all.PPMIselection.LENGTH1000.SOCPOSlex	warm.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSlex	warm.nobound3-3all.PPMIselection.LENGTHFOC.SOCPOSlex	warm.nobound3-3all.PPMIweight.LENGTH1000.SOCPOSlex	warm.nobound3-3all.PPMIweight.LENGTH5000.SOCPOSlex	warm.nobound3-3all.PPMIweight.LENGTHFOC.SOCPOSlex	warm.nobound3-3lex.PPMIno.LENGTH1000.SOCPOSlex	warm.nobound3-3lex.PPMIno.LENGTH5000.SOCPOSlex	warm.nobound3-3lex.PPMIno.LENGTHFOC.SOCPOSlex	warm.nobound3-3lex.PPMIselection.LENGTH1000.SOCPOSlex	warm.nobound3-3lex.PPMIselection.LENGTH5000.SOCPOSlex	warm.nobound3-3lex.PPMIselection.LENGTHFOC.SOCPOSlex	warm.nobound3-3lex.PPMIweight.LENGTH1000.SOCPOSlex	warm.nobound3-3lex.PPMIweight.LENGTH5000.SOCPOSlex	warm.nobound3-3lex.PPMIweight.LENGTHFOC.SOCPOSlex	warm.nobound5-5all.PPMIno.LENGTH1000.SOCPOSlex	warm.nobound5-5all.PPMIno.LENGTH5000.SOCPOSlex	warm.nobound5-5all.PPMIno.LENGTHFOC.SOCPOSlex	warm.nobound5-5all.PPMIselection.LENGTH1000.SOCPOSlex	warm.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSlex	warm.nobound5-5all.PPMIselection.LENGTHFOC.SOCPOSlex	warm.nobound5-5all.PPMIweight.LENGTH1000.SOCPOSlex	warm.nobound5-5all.PPMIweight.LENGTH5000.SOCPOSlex	warm.nobound5-5all.PPMIweight.LENGTHFOC.SOCPOSlex	warm.nobound5-5lex.PPMIno.LENGTH1000.SOCPOSlex	warm.nobound5-5lex.PPMIno.LENGTH5000.SOCPOSlex	warm.nobound5-5lex.PPMIno.LENGTHFOC.SOCPOSlex	warm.nobound5-5lex.PPMIselection.LENGTH1000.SOCPOSlex	warm.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSlex	warm.nobound5-5lex.PPMIselection.LENGTHFOC.SOCPOSlex	warm.nobound5-5lex.PPMIweight.LENGTH1000.SOCPOSlex	warm.nobound5-5lex.PPMIweight.LENGTH5000.SOCPOSlex	warm.nobound5-5lex.PPMIweight.LENGTHFOC.SOCPOSlex	_model
0	1.7935894091739066	2.835021247516936	3.1323028247864837	3.4209516848160058	3.971969227520428	4.4800695331984945	4.658713853176761	4.858646576891469	3.673676702412297	3.983236704729543	4.285051813454456	4.318310308109591	4.504845485528562	4.688167962043281	4.773947890608929	4.908998763309836	5.001664555032898	4.741322322145876	4.809596850618364	4.833999027787891	4.91919050680356	4.967929393343613	4.989241948595076	5.106050922641016	5.168949856664066	5.20896888166414	5.050920889481831	5.102149059022821	5.138311708131401	5.0440823361714795	5.0907705104883645	5.127284537041379	5.138297941343104	5.178517704758852	5.211405303560801	3.9156626812556508	3.998620348019041	4.2149747418257855	4.416864506118188	4.483141821266121	4.617031258868353	4.921011695742209	4.998359605785053	5.076877277450461	4.681134064390998	4.772741919703357	4.869186967857234	4.860240373989077	4.927293194446298	4.981008588507009	5.040692448115549	5.097069020956063	5.135192679969363	warm.nobound10-10all.PPMIno.LENGTH1000.SOCPOSlex
1.7935894091739066	0	2.0912332912282428	3.1983637350044005	2.852008897539707	3.433359793404895	4.324139268548051	4.279787444740032	4.4985505569999376	3.7411873692827924	3.5340569043085925	3.837961259208365	4.192539988434919	4.08585186948339	4.2672193133597895	4.596229556045706	4.564728648034919	4.659840935032208	4.816402989509072	4.712246762476763	4.690140053523324	4.936333176207349	4.8496990020587285	4.831659701803112	5.039807346766354	4.996736863615638	5.042679478592972	5.012410010336919	4.92990152774532	4.966120067497776	4.976849628010171	4.9076872490148205	4.944891949201874	5.048303012736598	4.993631038097811	5.0343354924118175	4.080481182705025	3.800534543877083	3.965348469110487	4.440237660930351	4.269465918931188	4.362308842706788	4.8287483039530015	4.756166504046378	4.838801867196639	4.677366010986605	4.534694842725955	4.62023613122025	4.78317899295147	4.680765039909528	4.724857390047136	4.928575051709572	4.864027015204753	4.899437292300855	warm.nobound10-10all.PPMIno.LENGTH5000.SOCPOSlex
2.835021247516936	2.0912332912282428	0	3.1291399515615548	2.5625355400699075	2.3232036139104544	3.8315344869794408	3.7091802996175933	3.7720906813299693	3.722752480702379	3.3680025297708016	3.0271387637078595	3.909105144702978	3.6669933306608082	3.534027223978229	4.1510644547226665	4.065777935784324	4.038751203444128	4.780621164900332	4.602654088256872	4.355469129510506	4.796372897599714	4.639845787612681	4.495122182558375	4.807104899701661	4.73445886333443	4.731929216060876	4.870397646085666	4.741030406947536	4.6799385307664725	4.796001784516466	4.681693691407486	4.648719683634723	4.82951929444836	4.748497691365692	4.745133368458628	4.2115914496306015	3.8566415129312683	3.4742558494271774	4.299902837394592	4.0216717002928695	3.8305755726949484	4.492538681566542	4.377559249365966	4.368591822024991	4.513601238176933	4.266664863527171	4.141833261605414	4.537928987547673	4.361839823935997	4.2706543007328595	4.617945516613321	4.519754436531928	4.480701226042228	warm.nobound10-10all.PPMIno.LENGTHFOC.SOCPOSlex
3.1323028247864837	3.1983637350044005	3.1291399515615548	0	1.7595352797410722	2.9954263717952627	3.777538471640991	4.088517502722404	4.41978210790766	4.049636079001583	4.136952735418422	4.169026565958943	3.6603953968321705	3.948178777129341	4.223532725711702	4.304366667091392	4.491513441884644	4.640002201880203	4.643745608609381	4.644985041085949	4.554913976277073	4.435951946508831	4.492892701658562	4.581869330327375	4.735764482696122	4.8309456645507645	4.939872138467542	4.87465099915041	4.892285493235849	4.90352779609662	4.741833549464927	4.788207352428594	4.864849711338514	4.856120635857889	4.899757036203241	4.973857977359493	4.112447098488797	4.084653479093929	4.001571584313248	3.644004542633984	3.775920355143282	4.036110589633954	4.401080304930321	4.547606509051453	4.7120766704766135	4.5738831063452094	4.581804497164587	4.599699715153125	4.417843559587452	4.502173920699414	4.608349176014168	4.653494052426928	4.73164875197675	4.817150036212005	warm.nobound10-10all.PPMIselection.LENGTH1000.SOCPOSlex
3.4209516848160058	2.852008897539707	2.5625355400699075	1.7595352797410722	0	2.1837563607267296	3.7068413063696406	3.6171407921048466	3.9648540312996414	4.069344218688928	3.74072667509245	3.705018294869203	3.690418090246888	3.468052196638578	3.7264429245498385	4.183348658462625	4.093963406422209	4.23620484743546	4.734685023025592	4.542817261443342	4.381487137026443	4.522300889103713	4.3572726018827765	4.3909522850983596	4.707055449011471	4.6336185251991235	4.744375123528066	4.86179444667548	4.714828729454803	4.713025651519855	4.7087727181006755	4.5886216697744215	4.6534931897924166	4.795064484055	4.699218109812796	4.770557824051483	4.279881581233528	3.9331065816563124	3.7335382864545905	3.828226562149894	3.5391841892429268	3.7221473224551604	4.3669058399156455	4.267593145064315	4.422298696867205	4.590237821487925	4.336396186661165	4.320678262699243	4.418333588952674	4.240703179114101	4.321530334467069	4.586475440958324	4.478584189307063	4.549026056554946	warm.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSlex
3.971969227520428	3.433359793404895	2.3232036139104544	2.9954263717952627	2.1837563607267296	0	3.4133314290553667	3.1327611649430853	3.009514207976215	4.129891311396934	3.6761758560593885	3.071275299688913	3.6847157416329073	3.2810600622032116	2.8542983464321896	3.8092792659569654	3.6079176408538727	3.470121155784703	4.8544496888825295	4.61264730172553	4.200578601101407	4.675203043359571	4.448667684681999	4.1926568180306285	4.618162703052669	4.4903123953574156	4.44943698548384	4.8009151746426335	4.602562719596572	4.455739913057059	4.644952804823491	4.464823838872602	4.374455403809239	4.660491023588868	4.522147023585699	4.479061188325391	4.5344698423921175	4.151928604127357	3.493611814170528	4.164751640634673	3.787972574766452	3.3208639020307786	4.202976407167035	4.012195409457958	3.9091860791673962	4.547748229609117	4.190280898221942	3.9054356133268993	4.346851150679697	4.072917398279605	3.86611863828835	4.378774466206031	4.212695790409076	4.106265593805254	warm.nobound10-10all.PPMIselection.LENGTHFOC.SOCPOSlex
4.4800695331984945	4.324139268548051	3.8315344869794408	3.777538471640991	3.7068413063696406	3.4133314290553667	0	1.9265658960575003	2.750890068131553	4.012928449589532	3.8083394816256027	3.438801176272425	3.3035373146736897	3.326948928968448	3.3262241989025036	1.921496663676464	2.6775245351646904	3.135133060502976	4.799128173266759	4.696603235816058	4.347076622837187	4.545645632071767	4.502583593681077	4.347955898635404	3.7785389537627343	4.011562232307253	4.226687613316436	4.422948707791077	4.375368766638007	4.33072967501521	4.203221057555303	4.209296895446646	4.267306666788427	3.949085492155208	4.096316366561847	4.2673642354222725	4.608334138844856	4.473667449789959	3.986980404997274	4.21908750541825	4.152386593416144	3.8935794758358004	2.875744297544352	3.2966247549972243	3.6343478869587105	4.153699178720314	3.9886256007081093	3.8501579542151556	3.8151911521832087	3.797020511678754	3.8216276371347147	3.292373676818343	3.587421287416547	3.811695283238013	warm.nobound10-10all.PPMIweight.LENGTH1000.SOCPOSlex
4.658713853176761	4.279787444740032	3.7091802996175933	4.088517502722404	3.6171407921048466	3.1327611649430853	1.9265658960575003	0	1.8035827426628745	4.164529403237964	3.5627005268052567	3.040073715883153	3.5139683804656268	2.9226458958252306	2.7769482473001825	2.384146907054244	1.6763380993045165	2.2956546119250962	4.954232210384816	4.683248732768827	4.271577126549847	4.7378151477899335	4.473334850392825	4.23847114066738	4.0754322770958344	3.754263050926477	3.9798902274840224	4.52275999380457	4.201375639429721	4.107615573443604	4.308362699662738	4.005552487184434	4.015110470661491	4.100936775714365	3.808114442266564	3.9866914206239055	4.802715190231057	4.452021623339767	3.888711741158553	4.456159085419695	4.079096843047994	3.71863720543639	3.372755051460917	2.8496222399029705	3.2064173639960307	4.302725934015083	3.772294132519929	3.562525431925606	3.9751611312185604	3.5266980583187713	3.4852635409330075	3.539033063491798	3.150579291982941	3.378418377068092	warm.nobound10-10all.PPMIweight.LENGTH5000.SOCPOSlex
4.858646576891469	4.4985505569999376	3.7720906813299693	4.41978210790766	3.9648540312996414	3.009514207976215	2.750890068131553	1.8035827426628745	0	4.407495458355102	3.858598538463409	3.052903725749398	3.8653762983764297	3.3049210340159707	2.5649526839128343	2.8931461897412762	2.255675402618392	1.615802634743564	5.093065487745028	4.8320024140209865	4.279057303852572	4.912779010481682	4.654300420161115	4.21039362332773	4.303050945590764	3.975214251086688	3.827164133724728	4.65389017741558	4.336759144437752	4.055291973071364	4.457123053430327	4.150649971226526	3.9325119097910943	4.257610970282678	3.960435556281105	3.864836554844211	4.9786989874681025	4.647299130456777	3.9271078780645836	4.688720267545026	4.324352313786975	3.6543341964355083	3.7483207608740114	3.244238053962995	2.861739057199831	4.5107193507993655	4.005085109528868	3.521078867475013	4.21220828852485	3.773239532419368	3.362000416277285	3.8113819621025167	3.419017990937091	3.143737344930837	warm.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSlex
3.673676702412297	3.7411873692827924	3.722752480702379	4.049636079001583	4.069344218688928	4.129891311396934	4.012928449589532	4.164529403237964	4.407495458355102	0	1.9288844251730426	2.8546708947405928	2.773600647441843	3.230113025009477	3.726499592957349	3.8988079176822694	4.148582456041357	4.364687576240792	5.093360971093762	5.077357208336982	4.914112178732852	5.07026444541665	5.071984230804185	4.997781300873491	4.92018935018395	4.984363632153125	5.031680466797078	4.5396423302854245	4.618927507649713	4.70599419582549	4.588668665602652	4.662720384466672	4.744415983635748	4.746347108426521	4.825244508895848	4.8891071042287395	4.662462199430963	4.641750370073817	4.503077568896145	4.7551716640222335	4.743142741820781	4.683161620901213	4.635436575724809	4.698604295015184	4.788627766717042	3.707290829326779	3.8994681482938662	4.148254871572624	4.111859363070848	4.253071558582504	4.400953242841626	4.489237671594504	4.602488811028852	4.690896246380027	warm.nobound10-10lex.PPMIno.LENGTH1000.SOCPOSlex
