size	max_diss	av_diss	diameter	separation	medoid	medoid_i
6	3.5562561786438724	2.217131355358798	4.075109744289712	3.209842210310419	heiss.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSlex	1
8	3.017145170372739	2.0587095212978923	3.807752117220457	1.935464787529632	heiss.nobound10-10all.PPMIweight.LENGTH5000.SOCPOSlex	2
6	3.342280344735416	2.0764539623059637	3.786943595051772	2.3447562318866075	heiss.nobound10-10lex.PPMIselection.LENGTH5000.SOCPOSlex	3
6	3.269038056662011	2.0691424291898635	3.85141361503174	2.7807137134316537	heiss.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSlex	4
6	2.828276992655376	1.8526155546102618	3.4437465834395184	2.0123080916162377	heiss.nobound3-3lex.PPMIselection.LENGTH1000.SOCPOSlex	5
8	2.739653315296444	1.9247360480895273	3.306291164119311	1.9553550508062876	heiss.nobound3-3lex.PPMIweight.LENGTHFOC.SOCPOSlex	6
6	3.4804239654300395	2.1654283556652296	4.034581714750579	2.7807137134316537	heiss.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSlex	7
8	3.0436603900088692	2.1332792950021426	3.8351265186526415	1.935464787529632	heiss.nobound5-5lex.PPMIselection.LENGTH5000.SOCPOSlex	8
